0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30
73,Foundations,Duquesne Light,,,,,,,,,,,,,,,,"Supports Allegheny Commons, Mt Washington CDC",,,,,,,,
74,Foundations,Echoing Green,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
75,Foundations,Eden Hall Foundation,,,,,,,,,,,,,,,,Supports PPC,,,,,,,,
76,Foundations,Emily Hall Tremaine Foundation,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
77,Foundations,Equitable Resources Foundation (EQT),,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Allegheny Commons, Nine Mile Run",,,,,,,,
78,Foundations,Frick Trust,,,,,,,,,,,,,,,,Supports PPC,,,,,,,,
79,Foundations,Garden Club of Allegheny County,,,,,,,,,,,,,,,,"Supports Allegheny Commons, Grow PGH",,,,,,,,
80,Foundations,German Marshal Fund,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
81,Foundations,Grable Foundation,,,,,,,,,,,,,,,,"Supports Grow PGH, GTECH, PPC, Venture Outdoors",,,,,,,,
82,Foundations,HJ Heinz Company Foundation,,,,,,,,,,,,,,,,Supports Grow PGH,,,,,,,,
83,Foundations,Heinz Endowments,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Allegheny Commons, GBA, GTECH, Hollow Oak LT, Mt Washington CDC, Nine Mile Run, PPC, Sustainable Pittsburgh, Venture Outdoors",,,,,,,,
84,Foundations,Hillcrest Garden Club,,,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
85,Foundations,"Hillman, Elsie H Foundation",,,,,,,,,,,,,,,,Supports Sustainable Pittsburgh,,,,,,,,
86,Foundations,"Hillman, Henry L Foundation",,,,,,,,,,,,,,,,"Supports Grow PGH, Mt Washington CDC, PPC, Sustainable Pittsburgh",,,,,,,,
87,Foundations,Hitachi Foundation,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
88,Foundations,Jackson Charitable Trust,,,,,,,,,,,,,,,,Supports Mt Washington CDC,,,,,,,,
89,Foundations,Kate Svitek Memorial Foundation,,,,,,,,,,,,,,,,Supports Venture Outdoors,,,,,,,,
90,Foundations,Kresge Foundation,,,,,,,,,,,,,,,,Supports GBA,,,,,,,,
91,Foundations,Laurel Foundation,,,,,,,,,,,,,,,,"Supports Allegheny Cleanways, Allegheny Commons, GBA, GTECH, Hollow Oak LT, Mt Washington CDC, Nine Mile Run",,,,,,,,
92,Foundations,Massey Charitable Trust,,,,,,,,,,,,,,,,Supports Hollow Oak LT,,,,,,,,
93,Foundations,McCune Foundation,,,,,,,,,,,,,,,,"Supports GTECH, PPC",,,,,,,,
94,Foundations,Mexican War Streets Society,,1,,,,,,,,,,,,,,Supports Allegheny Commons,,,,,,,,
95,Foundations,Moose & Squirrel Charitable Trust,,,,,,,,,,,,,,,,Supports GTECH,,,,,,,,
